generation,rateshifts,jumps,rootstate,jumpvariance
886000,0,1,-0.384481,0
887000,0,1,1.43229,0
888000,0,1,1.43229,0
889000,0,1,0.828212,0
890000,2,1,0.828212,0
891000,0,1,1.86697,0
892000,1,1,1.86697,0
893000,0,1,2.71554,0
894000,0,1,2.05302,0
895000,0,1,2.09557,0
896000,1,1,2.42588,0
897000,0,1,1.36701,0
898000,0,1,1.78077,0
899000,0,1,1.97084,0
900000,4,2,1.97084,0
901000,1,1,1.51453,0
902000,1,1,0.237912,0
903000,2,2,0.645024,0
904000,1,1,2.77689,0
905000,0,1,2.77689,0
906000,2,1,2.82159,0
907000,2,1,0.264372,0
908000,1,1,0.264372,0
909000,0,1,0.447402,0
910000,1,1,2.41891,0
911000,0,1,2.88052,0
912000,0,1,1.78327,0
913000,0,2,1.04343,0
914000,1,1,1.17732,0
915000,1,1,1.17732,0
916000,2,1,2.84576,0
917000,2,1,0.135163,0
918000,2,1,0.135163,0
919000,2,2,0.135163,0
920000,1,1,2.24025,0
921000,1,1,0.959578,0
922000,0,1,2.49426,0
923000,0,1,2.03348,0
924000,0,2,2.03348,0
925000,0,1,1.29232,0
926000,1,1,0.800257,0
927000,0,1,0.800257,0
928000,1,1,0.800257,0
929000,0,1,-0.0510329,0
930000,0,1,-0.0510329,0
931000,1,1,0.153721,0
932000,0,2,0.153721,0
933000,0,1,1.46575,0
934000,0,1,2.91023,0
935000,0,1,0.129047,0
936000,0,1,1.68478,0
937000,1,1,0.609952,0
938000,2,1,-0.420085,0
939000,1,1,-0.984822,0
940000,3,1,0.229339,0
941000,0,1,0.7023,0
942000,1,1,0.7023,0
943000,0,1,-0.810933,0
944000,0,1,0.166388,0
945000,0,1,1.9375,0
946000,1,1,-1.02302,0
947000,1,1,1.17062,0
948000,0,1,0.9154,0
949000,0,1,0.9154,0
950000,2,1,1.13742,0
951000,0,1,0.0841952,0
952000,1,1,0.0841952,0
953000,0,1,2.13655,0
954000,1,1,0.399873,0
955000,0,1,-1.49253,0
